TEsubFam	V1	X1	X2	age1	age2	age1.curated	is.age.curated
Eulor10	Eulor10	-0.814665011	3.463004008	NA	NA	320	Amniota
Eulor11	Eulor11	0.061303769	1.866672165	NA	NA	320	Amniota
Eulor12	Eulor12	-0.745282219	3.046119926	NA	NA	320	Amniota
Eulor2A	Eulor2A	-0.883630077	3.12420715	NA	NA	320	Amniota
Eulor2B	Eulor2B	-2.031270665	2.856182049	NA	NA	320	Amniota
Eulor2C	Eulor2C	-1.458953191	3.253212778	NA	NA	320	Amniota
Eulor3	Eulor3	-1.846074433	2.444115545	NA	NA	320	Amniota
Eulor7	Eulor7	-2.313559336	2.978355719	NA	NA	320	Amniota
Eulor8	Eulor8	0.436116923	0.936733782	NA	NA	320	Amniota
Eulor9A	Eulor9A	-0.404345049	3.502128481	NA	NA	320	Amniota
Eulor9B	Eulor9B	-1.712997472	3.003563996	NA	NA	320	Amniota
Eulor9C	Eulor9C	-0.518066734	3.589261797	NA	NA	320	Amniota
MER121B	MER121B	-0.887863574	3.277943896	NA	NA	320	Amniota
MER125	MER125	0.373967432	1.191630922	NA	NA	320	Amniota
MER126	MER126	0.985120293	2.788278867	NA	NA	320	Amniota
MER127	MER127	0.573252912	1.747390879	NA	NA	320	Amniota
MER130	MER130	-0.567203859	3.580279876	NA	NA	320	Amniota
MER131	MER131	1.212915452	0.863512168	NA	NA	320	Amniota
MER132	MER132	-1.149000629	3.167383052	NA	NA	320	Amniota
MER133A	MER133A	-0.678249692	3.634977651	NA	NA	320	Amniota
MER133B	MER133B	-0.76833257	3.406347487	NA	NA	320	Amniota
MER134	MER134	-1.699073555	3.127648065	NA	NA	320	Amniota
MER136	MER136	-1.049471041	3.677296517	NA	NA	320	Amniota
UCON100	UCON100	-1.485432325	3.23415174	NA	NA	320	Amniota
UCON2	UCON2	-0.326860768	3.481531096	NA	NA	320	Amniota
UCON21	UCON21	-1.955292528	3.199758888	NA	NA	320	Amniota
UCON23	UCON23	-2.555054046	1.937842608	NA	NA	320	Amniota
UCON29	UCON29	0.27708973	3.326690212	NA	NA	320	Amniota
UCON62	UCON62	-2.431125284	3.05602561	NA	NA	320	Amniota
UCON69	UCON69	-2.309821945	2.842749522	NA	NA	320	Amniota
UCON78	UCON78	-0.473762373	3.612524853	NA	NA	320	Amniota
UCON80	UCON80	-0.66890835	3.405925468	NA	NA	320	Amniota
UCON89	UCON89	-0.472376897	3.574894642	NA	NA	320	Amniota
UCON97	UCON97	-0.633302657	3.493919657	NA	NA	320	Amniota
UCON99	UCON99	-0.878494459	3.256865053	NA	NA	320	Amniota
Tigger2	Tigger2	2.709916612	-2.266616898	NA	NA	80	Artiodactyla
Arthur1A	Arthur1A	1.793323062	1.306504956	NA	NA	105	Eutheria
Arthur1B	Arthur1B	0.341413476	-2.983006761	NA	NA	105	Eutheria
Arthur1C	Arthur1C	0.667344062	0.529715917	NA	NA	105	Eutheria
BLACKJACK	BLACKJACK	1.193394126	-3.821886565	NA	NA	105	Eutheria
Chap1_Mam	Chap1_Mam	2.218240058	0.021632093	NA	NA	105	Eutheria
Chap1a_Mam	Chap1a_Mam	3.612350372	-1.885765131	NA	NA	105	Eutheria
Charlie10	Charlie10	-2.880013965	1.466342584	NA	NA	105	Eutheria
Charlie10a	Charlie10a	-2.86918801	1.559118499	NA	NA	105	Eutheria
Charlie10b	Charlie10b	-2.9251708	1.487533896	NA	NA	105	Eutheria
Charlie11	Charlie11	0.151967129	2.302931698	NA	NA	105	Eutheria
Charlie14a	Charlie14a	2.327807437	-0.607702098	NA	NA	105	Eutheria
Charlie15a	Charlie15a	4.02178627	-2.784668739	NA	NA	105	Eutheria
Charlie15b	Charlie15b	4.357222308	-1.407443818	NA	NA	105	Eutheria
Charlie16	Charlie16	3.998516592	-0.991808266	NA	NA	105	Eutheria
Charlie16a	Charlie16a	4.448749989	-1.368617411	NA	NA	105	Eutheria
Charlie17	Charlie17	2.530544246	-0.89758372	NA	NA	105	Eutheria
Charlie17a	Charlie17a	3.251332939	-1.649237057	NA	NA	105	Eutheria
Charlie17b	Charlie17b	1.110253625	0.753714708	NA	NA	105	Eutheria
Charlie18a	Charlie18a	4.48833738	-1.809399791	NA	NA	105	Eutheria
Charlie19a	Charlie19a	4.547201089	-1.520454117	NA	NA	105	Eutheria
Charlie1a	Charlie1a	1.254945869	-4.661541125	NA	NA	105	Eutheria
Charlie1b	Charlie1b	3.274227945	-0.991863822	NA	NA	105	Eutheria
Charlie20a	Charlie20a	3.428547003	-0.732132564	NA	NA	105	Eutheria
Charlie21a	Charlie21a	1.850508342	-0.00568426	NA	NA	105	Eutheria
Charlie22a	Charlie22a	4.18160614	-1.098097208	NA	NA	105	Eutheria
Charlie25	Charlie25	2.188384201	-2.566841519	NA	NA	105	Eutheria
Charlie26a	Charlie26a	2.012891957	2.000998723	NA	NA	105	Eutheria
Charlie29a	Charlie29a	3.805800494	-0.898779602	NA	NA	105	Eutheria
Charlie29b	Charlie29b	3.170358441	-2.531926195	NA	NA	105	Eutheria
Charlie2a	Charlie2a	2.080267051	-2.689949926	NA	NA	105	Eutheria
Charlie2b	Charlie2b	1.694037292	-3.208783774	NA	NA	105	Eutheria
Charlie30b	Charlie30b	1.880687759	1.531782517	NA	NA	105	Eutheria
Charlie31a	Charlie31a	1.521452511	-0.640437243	NA	NA	105	Eutheria
Charlie4a	Charlie4a	4.477285667	-1.379757375	NA	NA	105	Eutheria
Charlie4z	Charlie4z	4.398058735	-2.147307384	NA	NA	105	Eutheria
Charlie5	Charlie5	2.337047489	-0.580359831	NA	NA	105	Eutheria
Charlie6	Charlie6	1.854886291	0.151268283	NA	NA	105	Eutheria
Charlie7a	Charlie7a	4.210049795	-1.250057944	NA	NA	105	Eutheria
Charlie8	Charlie8	3.461739116	-2.933783652	NA	NA	105	Eutheria
Charlie9	Charlie9	3.601784818	-0.839945166	NA	NA	105	Eutheria
Cheshire	Cheshire	2.668843828	-0.906838261	NA	NA	105	Eutheria
DNA1_Mam	DNA1_Mam	-2.307636587	2.49385772	NA	NA	105	Eutheria
EUTREP4	EUTREP4	0.794032026	0.97437784	NA	NA	105	Eutheria
EutTc1-N1	EutTc1-N1	-2.709564249	1.835209667	NA	NA	105	Eutheria
EutTc1-N2	EutTc1-N2	-1.860830519	2.962391268	NA	NA	105	Eutheria
EuthAT-2	EuthAT-2	2.750551514	-0.746636749	NA	NA	105	Eutheria
EuthAT-N1	EuthAT-N1	-1.754137219	2.715491038	NA	NA	105	Eutheria
EuthAT-N1a	EuthAT-N1a	-1.593352066	2.562753558	NA	NA	105	Eutheria
Eutr11	Eutr11	2.228368122	0.595804839	NA	NA	105	Eutheria
Eutr15	Eutr15	0.522576871	-1.860235452	NA	NA	105	Eutheria
Eutr16	Eutr16	0.75949877	0.576335303	NA	NA	105	Eutheria
Eutr2	Eutr2	1.775494902	0.323096875	NA	NA	105	Eutheria
Eutr2B	Eutr2B	1.957764	0.169670753	NA	NA	105	Eutheria
FordPrefect	FordPrefect	0.908488043	-1.031006027	NA	NA	105	Eutheria
FordPrefect_a	FordPrefect_a	-0.404701512	1.11892286	NA	NA	105	Eutheria
Helitron1Na_Mam	Helitron1Na_Mam	1.773055381	0.019857189	NA	NA	105	Eutheria
Helitron1Nb_Mam	Helitron1Nb_Mam	0.452348896	0.56703781	NA	NA	105	Eutheria
Helitron3Na_Mam	Helitron3Na_Mam	2.919149557	-1.374331833	NA	NA	105	Eutheria
Kanga1	Kanga1	2.585313187	-0.842454953	NA	NA	105	Eutheria
Kanga11a	Kanga11a	2.766252203	-0.672826994	NA	NA	105	Eutheria
Kanga1a	Kanga1a	2.652023099	-0.691381039	NA	NA	105	Eutheria
Kanga1b	Kanga1b	1.644184957	0.001933753	NA	NA	105	Eutheria
Kanga1c	Kanga1c	2.722348054	-1.397505882	NA	NA	105	Eutheria
Kanga1d	Kanga1d	2.47560664	-0.23032071	NA	NA	105	Eutheria
Kanga2_a	Kanga2_a	2.870089163	-2.357520162	NA	NA	105	Eutheria
Looper	Looper	2.070190829	0.084290554	NA	NA	105	Eutheria
MADE2	MADE2	3.989269827	-1.589502956	NA	NA	105	Eutheria
MARNA	MARNA	4.012207239	-2.883063528	NA	NA	105	Eutheria
MER102a	MER102a	4.027678764	-1.616719431	NA	NA	105	Eutheria
MER102b	MER102b	4.162052748	-1.561388152	NA	NA	105	Eutheria
MER102c	MER102c	3.864064524	-1.697754186	NA	NA	105	Eutheria
MER103C	MER103C	3.263724672	-3.894652182	NA	NA	105	Eutheria
MER104	MER104	3.1972858	-2.630511166	NA	NA	105	Eutheria
MER105	MER105	-2.951182001	1.451705523	NA	NA	105	Eutheria
MER106A	MER106A	1.867044777	1.494331574	NA	NA	105	Eutheria
MER106B	MER106B	2.066474735	0.032296444	NA	NA	105	Eutheria
MER112	MER112	4.462880018	-1.819789077	NA	NA	105	Eutheria
MER113	MER113	4.465696382	-1.441212796	NA	NA	105	Eutheria
MER113A	MER113A	4.456369949	-1.391242741	NA	NA	105	Eutheria
MER115	MER115	1.482052771	-0.901201506	NA	NA	105	Eutheria
MER117	MER117	3.19290779	-3.447183946	NA	NA	105	Eutheria
MER119	MER119	3.293982544	-1.654609936	NA	NA	105	Eutheria
MER20	MER20	3.36040396	-2.9487495	NA	NA	105	Eutheria
MER20B	MER20B	3.382545845	-2.918950662	NA	NA	105	Eutheria
MER3	MER3	0.664224108	-0.139710254	NA	NA	105	Eutheria
MER33	MER33	3.952605389	-2.866957719	NA	NA	105	Eutheria
MER45A	MER45A	0.900766605	-0.107951786	NA	NA	105	Eutheria
MER45B	MER45B	0.671425862	-2.077470326	NA	NA	105	Eutheria
MER45C	MER45C	1.172900653	-0.932079016	NA	NA	105	Eutheria
MER45R	MER45R	0.682291529	-0.609994217	NA	NA	105	Eutheria
MER46C	MER46C	4.416390562	-1.608526948	NA	NA	105	Eutheria
MER53	MER53	0.318150553	-3.011501706	NA	NA	105	Eutheria
MER58A	MER58A	1.414556731	-5.657748467	NA	NA	105	Eutheria
MER58B	MER58B	3.605683428	-2.842415269	NA	NA	105	Eutheria
MER58C	MER58C	3.11719855	-2.675304303	NA	NA	105	Eutheria
MER58D	MER58D	2.771197411	-0.812646932	NA	NA	105	Eutheria
MER5A	MER5A	3.697962794	-3.80986864	NA	NA	105	Eutheria
MER5A1	MER5A1	3.875832111	-3.411630911	NA	NA	105	Eutheria
MER5B	MER5B	3.629613607	-3.901665979	NA	NA	105	Eutheria
MER5C	MER5C	2.350812658	1.141635771	NA	NA	105	Eutheria
MER5C1	MER5C1	2.279893161	1.255301352	NA	NA	105	Eutheria
MER63A	MER63A	2.63359159	-3.478629078	NA	NA	105	Eutheria
MER63B	MER63B	3.549330752	-1.847461272	NA	NA	105	Eutheria
MER63C	MER63C	1.655174373	-0.936063794	NA	NA	105	Eutheria
MER63D	MER63D	2.212937791	-0.791091124	NA	NA	105	Eutheria
MER81	MER81	3.795642721	-1.827651515	NA	NA	105	Eutheria
MER91A	MER91A	3.747709282	-1.96200758	NA	NA	105	Eutheria
MER91B	MER91B	3.440019944	-1.801035579	NA	NA	105	Eutheria
MER91C	MER91C	3.497668435	-1.839494604	NA	NA	105	Eutheria
MER94	MER94	3.659205518	-1.87170735	NA	NA	105	Eutheria
MER94B	MER94B	0.87193311	2.840644626	NA	NA	105	Eutheria
MER96	MER96	1.229162987	0.927134205	NA	NA	105	Eutheria
MER96B	MER96B	1.108565421	0.459126422	NA	NA	105	Eutheria
MER97a	MER97a	0.400674615	-0.935854791	NA	NA	105	Eutheria
MER97b	MER97b	0.45491534	0.574676691	NA	NA	105	Eutheria
MER97c	MER97c	0.552078413	0.950285163	NA	NA	105	Eutheria
MER97d	MER97d	-0.68715449	1.484076652	NA	NA	105	Eutheria
MER99	MER99	1.659883358	-0.078380876	NA	NA	105	Eutheria
MERX	MERX	1.756493113	0.5650468	NA	NA	105	Eutheria
MamRep1879	MamRep1879	0.903365738	0.812187474	NA	NA	105	Eutheria
MamRep1894	MamRep1894	2.395909113	-0.690762077	NA	NA	105	Eutheria
MamRep38	MamRep38	3.55284927	-1.854501591	NA	NA	105	Eutheria
MamRep4096	MamRep4096	1.021909557	0.135975983	NA	NA	105	Eutheria
MamRep488	MamRep488	0.860248689	0.861995059	NA	NA	105	Eutheria
MamTip1	MamTip1	1.376383766	1.501737857	NA	NA	105	Eutheria
MamTip1b	MamTip1b	1.328483818	1.798977371	NA	NA	105	Eutheria
MamTip3	MamTip3	1.247701935	-0.539523628	NA	NA	105	Eutheria
MamTip3B	MamTip3B	1.076241809	0.351578101	NA	NA	105	Eutheria
ORSL	ORSL	0.968848346	0.858992936	NA	NA	105	Eutheria
ORSL-2a	ORSL-2a	0.761722552	0.733093038	NA	NA	105	Eutheria
ORSL-2b	ORSL-2b	1.093368316	1.07523574	NA	NA	105	Eutheria
Tigger11a	Tigger11a	1.84697033	0.86329573	NA	NA	105	Eutheria
Tigger12	Tigger12	3.798278569	-1.056064883	NA	NA	105	Eutheria
Tigger12A	Tigger12A	4.061513865	-1.087241839	NA	NA	105	Eutheria
Tigger12c	Tigger12c	3.393088724	-0.94526637	NA	NA	105	Eutheria
Tigger13a	Tigger13a	2.74987896	-3.257747218	NA	NA	105	Eutheria
Tigger17a	Tigger17a	2.785323545	-2.44935137	NA	NA	105	Eutheria
Tigger17b	Tigger17b	-1.009475016	1.569543347	NA	NA	105	Eutheria
Tigger17c	Tigger17c	1.870457052	0.330736103	NA	NA	105	Eutheria
Tigger17d	Tigger17d	-0.692240022	1.352702829	NA	NA	105	Eutheria
Tigger18a	Tigger18a	3.157920603	-0.969878227	NA	NA	105	Eutheria
Tigger20a	Tigger20a	3.928659808	-1.357113389	NA	NA	105	Eutheria
Tigger21a	Tigger21a	-2.739857675	1.991542304	NA	NA	105	Eutheria
Tigger22N1	Tigger22N1	3.136524459	-0.762407925	NA	NA	105	Eutheria
Tigger6	Tigger6	1.933696284	0.04767976	NA	NA	105	Eutheria
Tigger6a	Tigger6a	2.340054562	-0.517425562	NA	NA	105	Eutheria
Tigger6b	Tigger6b	-0.75475971	1.81546741	NA	NA	105	Eutheria
Tigger8	Tigger8	3.860446405	-0.707143426	NA	NA	105	Eutheria
Tigger9a	Tigger9a	3.211191736	-0.723136797	NA	NA	105	Eutheria
Tigger9b	Tigger9b	2.669873591	-1.493243434	NA	NA	105	Eutheria
X1_DNA	X1_DNA	2.222781383	0.580874929	NA	NA	105	Eutheria
Zaphod	Zaphod	0.658229612	-1.497199498	NA	NA	105	Eutheria
Zaphod2	Zaphod2	1.527256035	1.692235644	NA	NA	105	Eutheria
Zaphod3	Zaphod3	2.39169116	-1.097351616	NA	NA	105	Eutheria
Zaphod4a	Zaphod4a	1.341135802	1.539567038	NA	NA	105	Eutheria
Zaphod5a	Zaphod5a	-1.770175142	3.173873306	NA	NA	105	Eutheria
Zaphod5b	Zaphod5b	-2.001318579	3.208374198	NA	NA	105	Eutheria
hAT-N1_Mam	hAT-N1_Mam	1.108140997	1.806357614	NA	NA	105	Eutheria
hAT-N1a_Mam	hAT-N1a_Mam	1.98020191	1.748330846	NA	NA	105	Eutheria
Arthur2	Arthur2	0.484219188	-1.961978619	NA	NA	230	Mammalia
Charlie13a	Charlie13a	1.870087758	0.957477655	NA	NA	230	Mammalia
Charlie13b	Charlie13b	1.831918518	1.469777167	NA	NA	230	Mammalia
Charlie30a	Charlie30a	1.08541893	2.83420609	NA	NA	230	Mammalia
MARE10	MARE10	-1.091399588	3.064757567	NA	NA	230	Mammalia
MARE8	MARE8	-0.097516381	3.440855588	NA	NA	230	Mammalia
MER121	MER121	0.372805245	-1.185750581	NA	NA	230	Mammalia
MER135	MER135	2.984967956	-0.574018603	NA	NA	230	Mammalia
UCON105	UCON105	1.99726718	1.540618953	NA	NA	230	Mammalia
UCON33	UCON33	-0.804573922	2.210425981	NA	NA	230	Mammalia
UCON34	UCON34	1.196540349	2.609308619	NA	NA	230	Mammalia
UCON37	UCON37	-1.816608187	3.24660431	NA	NA	230	Mammalia
UCON38	UCON38	-0.344151752	3.512567946	NA	NA	230	Mammalia
UCON39	UCON39	0.276237715	2.385130832	NA	NA	230	Mammalia
UCON44	UCON44	1.877891851	1.405883234	NA	NA	230	Mammalia
UCON55	UCON55	0.637245259	3.061650221	NA	NA	230	Mammalia
UCON73	UCON73	-1.240318265	3.770084256	NA	NA	230	Mammalia
UCON83	UCON83	-1.340803212	2.670830062	NA	NA	230	Mammalia
X12_DNA	X12_DNA	4.645702764	-1.508584741	NA	NA	230	Mammalia
X22_DNA	X22_DNA	-2.352088989	3.269069798	NA	NA	230	Mammalia
X23_DNA	X23_DNA	-1.008211555	3.286273762	NA	NA	230	Mammalia
X26_DNA	X26_DNA	4.26057032	-1.216307356	NA	NA	230	Mammalia
X2a_DNA	X2a_DNA	0.858645234	0.76548678	NA	NA	230	Mammalia
X2b_DNA	X2b_DNA	0.499275683	1.252122825	NA	NA	230	Mammalia
X33a_DNA	X33a_DNA	-1.470425943	3.240725811	NA	NA	230	Mammalia
X34_DNA	X34_DNA	-0.47658021	2.468258394	NA	NA	230	Mammalia
X6a_DNA	X6a_DNA	4.203619177	-1.122174084	NA	NA	230	Mammalia
X9a_DNA	X9a_DNA	2.201043754	1.778949265	NA	NA	230	Mammalia
X9b_DNA	X9b_DNA	2.362728353	1.008949557	NA	NA	230	Mammalia
hAT-5_Mam	hAT-5_Mam	2.246551188	1.781922265	NA	NA	230	Mammalia
Charlie1	Charlie1	3.568330235	-0.910413558	NA	NA	150	Metatheria
Charlie4	Charlie4	4.533788214	-1.538334286	NA	NA	150	Metatheria
Charlie7	Charlie7	2.61097447	-2.293177256	NA	NA	150	Metatheria
Tigger1	Tigger1	4.39465229	-1.06620484	NA	NA	150	Metatheria
Tigger17	Tigger17	2.167919976	-0.071419362	NA	NA	150	Metatheria
Charlie7b_Mars	Charlie7b_Mars	-1.229370791	2.118987405	NA	NA	NA	NA
Chompy-7_Croc	Chompy-7_Croc	-2.740913657	1.901903243	NA	NA	NA	NA
Tigger1a_Art	Tigger1a_Art	1.935785663	0.395759641	NA	NA	NA	NA
hAT-16_Crp	hAT-16_Crp	-1.25892515	3.16711976	NA	NA	NA	NA
HSMAR2	HSMAR2	-2.000243326	2.70744909	NA	NA	55	Primates
MER2B	MER2B	2.739089187	-2.21595333	NA	NA	55	Primates
MER44A	MER44A	2.991893898	-0.743389551	NA	NA	55	Primates
MER44B	MER44B	2.902691982	-1.172052431	NA	NA	55	Primates
MER44C	MER44C	2.757510873	-0.822341086	NA	NA	55	Primates
MER44D	MER44D	2.503758574	-0.589225265	NA	NA	55	Primates
MER47B	MER47B	2.44677455	-0.435986754	NA	NA	55	Primates
MER47C	MER47C	-0.355485929	1.845595074	NA	NA	55	Primates
MER6	MER6	-2.841256846	1.847078873	NA	NA	55	Primates
MER6A	MER6A	2.669820803	-1.598234023	NA	NA	55	Primates
MER6B	MER6B	2.102903046	0.204449065	NA	NA	55	Primates
MER6C	MER6C	-1.053660304	1.448938168	NA	NA	55	Primates
MER8	MER8	-1.794572467	0.145491284	NA	NA	55	Primates
Merlin1_HS	Merlin1_HS	-2.686616838	2.052099879	NA	NA	55	Primates
Ricksha	Ricksha	1.447027805	-1.516051867	NA	NA	55	Primates
Ricksha_0	Ricksha_0	0.820232366	-1.446057036	NA	NA	55	Primates
Ricksha_a	Ricksha_a	-1.037776532	1.684606437	NA	NA	55	Primates
Ricksha_c	Ricksha_c	1.600031995	-2.488847869	NA	NA	55	Primates
Tigger2a	Tigger2a	1.236082131	-4.538231299	NA	NA	55	Primates
Tigger2b_Pri	Tigger2b_Pri	1.526156922	-4.144510544	NA	NA	55	Primates
Tigger3	Tigger3	1.465211461	-4.335728406	NA	NA	55	Primates
Tigger3a	Tigger3a	1.597113262	-4.311624549	NA	NA	55	Primates
Tigger3b	Tigger3b	0.472589357	-5.86919296	NA	NA	55	Primates
Tigger3c	Tigger3c	2.801964952	-1.093301842	NA	NA	55	Primates
Tigger3d	Tigger3d	2.158679573	-0.170497283	NA	NA	55	Primates
Tigger4	Tigger4	2.960545783	-2.833370016	NA	NA	55	Primates
Tigger4a	Tigger4a	2.99594408	-3.066716146	NA	NA	55	Primates
Tigger4b	Tigger4b	2.970199606	-2.674647267	NA	NA	55	Primates
Tigger5b	Tigger5b	2.77822117	-0.991226743	NA	NA	55	Primates
Tigger7	Tigger7	2.913003158	-1.068997608	NA	NA	55	Primates
MER2	MER2	2.92544272	-3.023765186	NA	NA	55	Primates Glire
MER47A	MER47A	2.63898834	-2.553526969	NA	NA	85	Scandentia
Tigger5	Tigger5	2.688587057	-0.747701885	NA	NA	85	Scandentia
Charlie3	Charlie3	1.882426283	1.577308677	NA	NA	40	Simiiformes
HSMAR1	HSMAR1	-2.063469603	3.054902841	NA	NA	40	Simiiformes
MADE1	MADE1	0.956814238	-4.925428157	NA	NA	40	Simiiformes
MER107	MER107	-1.398836005	2.972462959	NA	NA	40	Simiiformes
MER1A	MER1A	2.211243859	-3.129499021	NA	NA	40	Simiiformes
MER1B	MER1B	2.71493635	-3.324905802	NA	NA	40	Simiiformes
MER30	MER30	2.885759199	-1.118400615	NA	NA	40	Simiiformes
MER30B	MER30B	-1.29003042	1.623251199	NA	NA	40	Simiiformes
MER75	MER75	-1.018264589	1.521645711	NA	NA	40	Simiiformes
MER75A	MER75A	-2.297586952	2.669318696	NA	NA	40	Simiiformes
MER75B	MER75B	-1.142603606	1.600450102	NA	NA	40	Simiiformes
MER85	MER85	1.852150301	0.940182645	NA	NA	40	Simiiformes
Eulor5A	Eulor5A	-0.623096688	3.193214933	NA	NA	360	Tetrapods
Eulor5B	Eulor5B	-0.565665502	3.564949209	NA	NA	360	Tetrapods
Eulor6A	Eulor6A	-1.276831091	3.103132892	NA	NA	360	Tetrapods
Eulor6B	Eulor6B	-1.041009535	2.975696147	NA	NA	360	Tetrapods
Eulor6C	Eulor6C	-2.071903851	2.966290052	NA	NA	360	Tetrapods
Eulor6D	Eulor6D	-0.748910731	3.21249626	NA	NA	360	Tetrapods
Eulor6E	Eulor6E	-1.18350652	3.462568132	NA	NA	360	Tetrapods
MER123	MER123	-1.02155063	3.224890691	NA	NA	360	Tetrapods
OldhAT1	OldhAT1	4.630610767	-1.466857546	NA	NA	360	Tetrapods
UCON11	UCON11	-0.810893936	3.672879317	NA	NA	360	Tetrapods
UCON14	UCON14	-0.55688147	3.194748969	NA	NA	360	Tetrapods
UCON7	UCON7	-1.425543856	3.738453858	NA	NA	360	Tetrapods
UCON8	UCON8	-0.388803944	3.477014496	NA	NA	360	Tetrapods
Charlie23a	Charlie23a	2.145712116	1.753365347	NA	NA	180	Theria
Charlie24	Charlie24	2.08953986	1.920346837	NA	NA	180	Theria
Charlie32a	Charlie32a	0.426018889	3.222249936	NA	NA	180	Theria
Helitron2Na_Mam	Helitron2Na_Mam	2.287586628	0.594103819	NA	NA	180	Theria
MARE4	MARE4	1.216588853	2.508490304	NA	NA	180	Theria
MER124	MER124	2.265056461	-0.551268593	NA	NA	180	Theria
MamRep137	MamRep137	3.449261322	-2.884813289	NA	NA	180	Theria
MamRep434	MamRep434	4.124441265	-1.433454017	NA	NA	180	Theria
MamTip2	MamTip2	3.449388932	-3.278574331	NA	NA	180	Theria
MamTip2b	MamTip2b	3.233110205	-3.503597058	NA	NA	180	Theria
Tigger10	Tigger10	4.02336194	-1.239536632	NA	NA	180	Theria
Tigger14a	Tigger14a	3.962622159	-1.431823226	NA	NA	180	Theria
Tigger15a	Tigger15a	3.928179118	-3.107806344	NA	NA	180	Theria
Tigger16a	Tigger16a	4.503968461	-1.137848436	NA	NA	180	Theria
Tigger16b	Tigger16b	4.187241535	-1.168845675	NA	NA	180	Theria
Tigger19a	Tigger19a	4.411117151	-2.211918767	NA	NA	180	Theria
Tigger19b	Tigger19b	4.096460627	-2.790796356	NA	NA	180	Theria
Tigger23a	Tigger23a	2.21197363	0.651911731	NA	NA	180	Theria
UCON40	UCON40	0.947719387	2.131748074	NA	NA	180	Theria
UCON58	UCON58	1.231598139	1.895813255	NA	NA	180	Theria
UCON81	UCON81	-0.400152643	3.624947627	NA	NA	180	Theria
X10b_DNA	X10b_DNA	1.734660466	2.223940543	NA	NA	180	Theria
X11_DNA	X11_DNA	0.304607287	2.127634331	NA	NA	180	Theria
X24_DNA	X24_DNA	1.071811181	0.469487604	NA	NA	180	Theria
X30_DNA	X30_DNA	1.82261585	1.623653612	NA	NA	180	Theria
X32_DNA	X32_DNA	1.669086982	2.260066671	NA	NA	180	Theria
X4a_DNA	X4a_DNA	0.030821309	3.138189151	NA	NA	180	Theria
X4b_DNA	X4b_DNA	1.888547614	2.229474551	NA	NA	180	Theria
X5a_DNA	X5a_DNA	1.833137628	2.268694023	NA	NA	180	Theria
X6b_DNA	X6b_DNA	2.232945992	1.730033843	NA	NA	180	Theria
hAT-1_Mam	hAT-1_Mam	4.083764735	-0.997596078	NA	NA	180	Theria
hAT-4b_Ther	hAT-4b_Ther	1.212063298	1.790108957	NA	NA	180	Theria
