name,ID,ZNF436_vs_dK_p.val,ZNF436_vs_dK_p.adj,ZNF436_vs_dK_significant,ZNF436_vs_dK_ratio,dK_centered,GFP_centered,wt_centered,ZNF436_centered,role
NSA2,A0A0A0MQZ6,0.491010043,0.918,FALSE,-0.0685,0.028,-0.191,0.152,-0.0405,
PON2,A0A0J9YXF2,0.492971676,0.918,FALSE,-0.275,0.0943,-0.267,0.351,-0.181,
PRKAR2B,P31323,0.493267513,0.918,FALSE,-0.126,0.165,-0.0953,-0.342,0.0382,
RSU1,Q15404,0.488634769,0.918,FALSE,0.0847,0.0298,-0.206,-0.151,0.114,
SLIT3,O75094-3,0.48938951,0.918,FALSE,0.168,-0.0898,0.45,-0.276,0.0778,
SNRPA,P09012,0.492487965,0.918,FALSE,0.105,0.143,0.0411,-0.812,0.249,
ACAA2,P42765,0.501724321,0.919,FALSE,0.132,-0.217,0.16,0.496,-0.0847,
ANXA2,P07355,0.503393346,0.919,FALSE,0.135,-0.117,-0.264,0.374,0.0177,
AP2A2,O94973-2,0.503452157,0.919,FALSE,-0.0574,0.0391,-0.0668,0.00298,-0.0183,
DHX30,H7BXY3,0.498367278,0.919,FALSE,-0.058,-0.0137,0.0663,0.127,-0.0717,
ISYNA1,Q9NPH2-2,0.497497738,0.919,FALSE,-0.105,0.0464,0.135,-0.0653,-0.0588,
KIAA0368,A0A804HJA4,0.502370077,0.919,FALSE,0.0791,-0.00131,0.035,-0.176,0.0778,
L2HGDH,C9JVN9,0.505390131,0.919,FALSE,-0.0812,0.00897,0.0535,0.0909,-0.0722,
MYH7,P12883,0.500347733,0.919,FALSE,-0.209,0.821,0.261,-3.04,0.612,
NKRF,A0A8I5KX72,0.50358397,0.919,FALSE,0.137,-0.102,0.315,-0.0735,0.0344,
PSMA6,G3V5Z7,0.498238405,0.919,FALSE,0.209,-0.121,-0.0834,0.121,0.0883,
RAB34,Q9BZG1,0.502884411,0.919,FALSE,0.0868,-0.0694,-0.197,0.235,0.0174,
RAF1,P04049-2,0.503233752,0.919,FALSE,0.0794,-0.0851,-0.0939,0.244,-0.00574,
RARS,P54136,0.500245945,0.919,FALSE,0.0588,0.0149,0.0203,-0.191,0.0737,
RPRC1,D3DPS3,0.505806467,0.919,FALSE,-0.107,0.0789,-0.0216,-0.0874,-0.028,
SREK1IP1,Q8N9Q2,0.500761329,0.919,FALSE,-0.113,-0.00514,-0.00918,0.253,-0.118,
SRM,P19623,0.504984239,0.919,FALSE,-0.064,0.0604,0.00419,-0.116,-0.00364,
SYVN1,Q86TM6-2,0.503901405,0.919,FALSE,-0.132,-0.0265,-0.133,0.458,-0.158,
USP10,Q14694,0.502463713,0.919,FALSE,0.0668,-0.039,-0.0542,0.0586,0.0278,
ARL8A,Q96BM9,0.515368061,0.92,FALSE,-0.149,-0.155,0.481,0.598,-0.304,
CDC42EP1,Q00587-2,0.513592502,0.92,FALSE,0.131,0.0244,-0.39,-0.0991,0.155,
COL5A1,P20908,0.513592169,0.92,FALSE,-0.365,0.546,0.616,-1.86,0.181,
CUL4A,Q13619,0.50675354,0.92,FALSE,-0.0583,0.0318,-0.0152,-0.000447,-0.0265,
CYR61,O00622,0.507299767,0.92,FALSE,0.172,-0.187,0.0961,0.341,-0.0154,
EEF1A1,P68104,0.511193424,0.92,FALSE,-0.0596,0.0654,0.0185,-0.155,0.00585,
EIF3F,H0YDT6,0.506715891,0.92,FALSE,-0.0602,0.0409,-0.00819,-0.0376,-0.0193,
FMO1,Q01740,0.512656869,0.92,FALSE,-0.101,0.0923,-0.404,0.102,-0.00859,
LDHB,P07195,0.506168231,0.92,FALSE,0.19,0.0976,0.152,-0.872,0.288,
MYL7,Q01449,0.508640602,0.92,FALSE,-0.326,0.754,0.658,-2.8,0.428,
P4HB,P07237,0.508798089,0.92,FALSE,0.121,-0.0174,-0.325,0.0439,0.104,
PAK4,O96013,0.508071249,0.92,FALSE,-0.0611,0.0652,0.0265,-0.156,0.00407,
POLR2E,A0A0A0MQR7,0.512917046,0.92,FALSE,-0.0736,-0.0385,-0.00406,0.304,-0.112,
RPL10A,P62906,0.510867866,0.92,FALSE,-0.0877,0.00415,0.101,0.0917,-0.0835,
RPL22,P35268,0.513309865,0.92,FALSE,-0.049,0.00401,0.0751,0.0319,-0.045,
RPS13,P62277,0.506982035,0.92,FALSE,-0.09,-0.0542,0.278,0.212,-0.144,
SET,A0A0C4DFV9,0.514262763,0.92,FALSE,0.192,0.0686,-0.16,-0.553,0.261,
SYNPO2L,Q9H987-2,0.510959261,0.92,FALSE,-0.335,0.733,0.383,-2.52,0.399,
ADAMTS19,A0A1X7SBR9,0.516890918,0.921,FALSE,-0.299,-0.446,1.39,1.46,-0.745,
AHCY,P23526,0.517100617,0.921,FALSE,-0.0782,-0.0978,0.191,0.42,-0.176,
CAPZA2,P47755,0.521523037,0.921,FALSE,-0.0882,0.081,-0.043,-0.119,-0.00718,
CPEB4,Q17RY0,0.518512895,0.921,FALSE,-0.16,0.135,0.229,-0.373,-0.0246,
DDX1,A0A7I2YQ77,0.519250379,0.921,FALSE,-0.0577,-0.00379,0.0275,0.112,-0.0615,
DNAJC9,Q8WXX5,0.522356039,0.921,FALSE,-0.325,0.237,-0.737,0.195,-0.088,
DYNC1LI1,Q9Y6G9,0.516646207,0.921,FALSE,0.07,-0.0103,0.15,-0.199,0.0597,
EML4,Q9HC35,0.521196128,0.921,FALSE,0.144,-0.124,-0.165,0.316,0.0206,
FTO,A0A1B0GUC3,0.524756811,0.921,FALSE,-0.111,0.0165,0.272,-0.0259,-0.0942,
HNRNPA3,A0A7I2V2R3,0.517515159,0.921,FALSE,-0.0508,0.256,-0.494,-0.594,0.205,
MCM7,P33993,0.517517729,0.921,FALSE,-0.0904,-0.0809,0.331,0.284,-0.171,
MMP14,A0A7P0TAG0,0.516733643,0.921,FALSE,0.16,-0.343,-0.0718,1.1,-0.183,
NEK9,A0A7I2V5R1,0.51748323,0.921,FALSE,-0.0837,0.134,0.0661,-0.413,0.0505,
PPP1R12A,O14974-5,0.520196082,0.921,FALSE,0.159,-0.0352,0.417,-0.456,0.124,
RAB11B,Q15907,0.516888687,0.921,FALSE,0.0786,-0.169,0.0236,0.504,-0.0907,
RPS14,P62263,0.524089078,0.921,FALSE,-0.0541,0.00441,0.086,0.0332,-0.0497,
RPS19,P39019,0.523046863,0.921,FALSE,0.14,-0.029,-0.127,-0.0791,0.111,
SNTA1,Q13424,0.520275718,0.921,FALSE,-0.221,0.517,0.351,-1.86,0.296,
STRBP,Q96SI9,0.51825509,0.921,FALSE,0.201,0.118,0.79,-1.4,0.319,
TAGLN2,P37802-2,0.524650185,0.921,FALSE,0.251,-0.25,0.123,0.416,0.00108,
TNC,P24821,0.517680765,0.921,FALSE,-0.34,-0.0913,0.424,0.762,-0.431,
VPS45,Q9NRW7,0.516353775,0.921,FALSE,-0.0822,0.0909,0.0923,-0.261,0.00876,
ALDH6A1,Q02252,0.530211414,0.922,FALSE,-0.265,-0.0391,0.0872,0.628,-0.304,
ATIC,P31939,0.530576659,0.922,FALSE,0.0793,-0.3,0.511,0.701,-0.221,
CLPP,Q16740,0.53187943,0.922,FALSE,0.0582,-0.023,-0.19,0.102,0.0352,
COPA,P53621,0.531505281,0.922,FALSE,-0.056,0.0258,-0.189,0.135,-0.0302,
COPS6,Q7L5N1,0.531579722,0.922,FALSE,-0.0589,0.0855,0.157,-0.329,0.0266,
CTPS1,A0A3B3IRI2,0.528031202,0.922,FALSE,-0.0539,0.0113,0.00899,0.0568,-0.0426,
DECR1,Q16698-2,0.525703217,0.922,FALSE,-0.0845,0.0391,-0.252,0.181,-0.0454,
FARP1,C9JME2,0.530863574,0.922,FALSE,0.0672,-0.025,-0.335,0.189,0.0423,
KHDRBS1,Q07666,0.525878929,0.922,FALSE,-0.065,0.137,-0.0263,-0.4,0.0718,
KIF20B,Q96Q89-4,0.526218335,0.922,FALSE,-0.131,0.126,-0.111,-0.166,-0.00544,
KRT18,P05783,0.535169699,0.922,FALSE,-0.0871,-0.126,-0.378,0.93,-0.213,
LMNB1,P20700,0.531103854,0.922,FALSE,-0.107,-0.0667,0.242,0.319,-0.174,
NDUFA6,P56556,0.530170252,0.922,FALSE,-0.0696,0.0776,0.142,-0.266,0.00802,
NDUFA9,Q16795,0.528611991,0.922,FALSE,-0.0942,0.13,0.0466,-0.362,0.0356,
POLD1,A0A087WYJ2,0.52984065,0.922,FALSE,0.117,-0.198,0.324,0.344,-0.0813,
PRKACA,P17612,0.53333078,0.922,FALSE,-0.108,0.244,-0.00335,-0.757,0.136,
PRKAG1,P54619-2,0.53278418,0.922,FALSE,0.0739,0.0267,-0.232,-0.1,0.101,
RAB5A,P20339-2,0.528611691,0.922,FALSE,-0.0604,-0.0398,0.058,0.241,-0.1,
RPS4X,P62701,0.529842942,0.922,FALSE,-0.0486,-0.0249,0.101,0.13,-0.0735,
RPSA,C9J9K3,0.532574201,0.922,FALSE,-0.133,-0.239,0.605,0.817,-0.372,
SLC3A2,P08195-4,0.527650952,0.922,FALSE,0.126,-0.181,-0.261,0.644,-0.0543,
SRSF9,Q13242,0.535176836,0.922,FALSE,-0.108,-0.146,0.534,0.443,-0.254,
TMEM214,H7C085,0.531972629,0.922,FALSE,-0.248,0.106,0.00685,0.0663,-0.142,
TXNDC12,O95881,0.52894339,0.922,FALSE,0.112,-0.0587,-0.11,0.0831,0.0538,
UBE2O,Q9C0C9,0.535238475,0.922,FALSE,-0.0779,0.0345,0.0349,-0.00549,-0.0434,
UBE4B,O95155-3,0.535354021,0.922,FALSE,0.0822,-0.0752,0.0505,0.103,0.00702,
WNK1,F5GWT4,0.530377571,0.922,FALSE,-0.102,0.177,-0.042,-0.475,0.0746,
YBX1,P67809,0.533272638,0.922,FALSE,0.116,0.0597,-0.00614,-0.467,0.176,
ATPIF1,Q9UII2,0.540166504,0.923,FALSE,0.191,-0.112,-0.101,0.134,0.0789,
BCAT1,P54687-2,0.537756959,0.923,FALSE,-0.276,0.186,-0.055,-0.156,-0.09,
CYFIP1,Q7L576,0.541721598,0.923,FALSE,-0.0506,0.058,-0.016,-0.12,0.0074,
DLST,P36957,0.537556483,0.923,FALSE,-0.126,-0.0355,0.0492,0.361,-0.161,
HNRNPA3.1,P51991-2,0.541297786,0.923,FALSE,0.094,0.114,-0.737,-0.154,0.208,
HSPA9,A0A7I2V2G2,0.541493151,0.923,FALSE,-0.102,-0.173,0.237,0.737,-0.275,
IMMT,B9A067,0.539905662,0.923,FALSE,-0.0611,0.0241,0.0435,-0.00327,-0.037,
LGALS1,P09382,0.540687512,0.923,FALSE,-0.208,-0.00624,-0.0254,0.459,-0.215,
MAP4,E7EVA0,0.538150021,0.923,FALSE,-0.114,0.151,0.0444,-0.405,0.037,
NDUFS6,O75380,0.542885144,0.923,FALSE,-0.159,0.225,0.144,-0.679,0.0664,
POLDIP3,Q9BY77,0.538504111,0.923,FALSE,0.09,0.605,-0.864,-2.03,0.695,
PSMA1,P25786,0.541377605,0.923,FALSE,0.148,0.00908,-0.156,-0.227,0.157,
PSMC1,P62191,0.543540231,0.923,FALSE,0.0549,0.022,-0.061,-0.157,0.077,
SEC24A,O95486,0.537395508,0.923,FALSE,0.108,-0.055,-0.325,0.22,0.0533,
SLC2A3,P11169,0.540629133,0.923,FALSE,0.114,-0.0615,-0.512,0.36,0.0522,
TMEM165,Q9HC07,0.543796069,0.923,FALSE,0.0859,-0.0362,-0.16,0.0797,0.0497,
WDR43,Q15061,0.543346764,0.923,FALSE,0.0776,-0.0114,-0.0435,-0.0805,0.0662,
ZAK,Q9NYL2-2,0.538682696,0.923,FALSE,-0.101,0.139,-0.378,-0.102,0.0384,
AP1M1,Q9BXS5,0.551577334,0.924,FALSE,0.082,-0.00453,-0.207,-0.00763,0.0774,
DNAJC11,Q9NVH1-3,0.549805015,0.924,FALSE,-0.0658,0.099,-0.0732,-0.216,0.0332,
FKBP10,Q96AY3,0.548544648,0.924,FALSE,0.128,-0.0693,-0.425,0.305,0.0585,
HACD3,Q9P035,0.548201522,0.924,FALSE,0.0665,-0.0494,-0.182,0.186,0.0171,
HIST1H2AH,Q96KK5,0.550498172,0.924,FALSE,0.149,-0.083,-0.421,0.315,0.0658,
HSD17B11,Q8NBQ5,0.547886336,0.924,FALSE,0.201,-0.242,-0.629,0.986,-0.0412,
LEPRE1,Q32P28,0.550648746,0.924,FALSE,-0.077,-0.0367,-0.0148,0.311,-0.114,
MFN2,A0A6Q8PGV8,0.553889338,0.924,FALSE,-0.0902,0.281,-0.0374,-0.92,0.191,
MYLK3,Q32MK0,0.551406473,0.924,FALSE,-0.178,0.13,-0.0607,-0.126,-0.0472,
NANS,Q9NR45,0.552017532,0.924,FALSE,0.172,-0.427,0.642,0.933,-0.254,
NUP85,Q9BW27-3,0.555487422,0.924,FALSE,0.0765,-0.162,0.174,0.378,-0.0852,
PDK3,Q15120,0.549866903,0.924,FALSE,0.0817,0.09,0.0166,-0.534,0.172,
PEX11B,O96011,0.553084147,0.924,FALSE,-0.0754,0.0292,0.0586,-0.0051,-0.0462,
PRPSAP2,O60256,0.550749676,0.924,FALSE,0.0655,0.0394,-0.172,-0.173,0.105,
PSMD2,Q13200,0.546550636,0.924,FALSE,0.0512,-0.0458,0.0227,0.0655,0.00544,
ROCK1,Q13464,0.551582352,0.924,FALSE,-0.0806,0.0592,-0.0312,-0.055,-0.0214,
RPS6.1,P62753,0.555000615,0.924,FALSE,-0.0429,0.0212,-0.0271,0.0191,-0.0217,
RPS6KA3,P51812,0.555172267,0.924,FALSE,0.0833,0.0378,-0.444,-0.0216,0.121,
SLC25A12,O75746,0.556489925,0.924,FALSE,-0.148,0.271,0.187,-0.913,0.123,
SRSF1,J3KTL2,0.552434163,0.924,FALSE,0.131,-0.128,0.348,0.0169,0.00348,
STT3A,P46977,0.54750965,0.924,FALSE,-0.0758,0.0678,-0.333,0.103,-0.00803,
ZNF865,P0CJ78,0.553667265,0.924,FALSE,0.0615,-0.0324,-0.123,0.0881,0.0292,
ABHD16A,A0A0G2JJD3,0.567804565,0.925,FALSE,0.057,-0.00542,-0.228,0.0594,0.0516,
ACOX1,Q15067,0.558600045,0.925,FALSE,-0.11,-0.0224,-0.475,0.626,-0.132,
ANXA6,P08133,0.562159495,0.925,FALSE,-0.0753,0.279,0.11,-1.04,0.204,
APRT,P07741,0.564613611,0.925,FALSE,-0.206,-0.367,0.864,1.3,-0.573,
BZW1,Q7L1Q6-2,0.559232693,0.925,FALSE,-0.115,-0.132,0.218,0.615,-0.248,
DHX36,Q9H2U1-2,0.562784348,0.925,FALSE,0.0996,-0.0829,0.104,0.063,0.0167,
DYNLT1,P63172,0.567521963,0.925,FALSE,0.115,-0.0142,0.477,-0.491,0.101,
EIF4E,P06730,0.566637421,0.925,FALSE,0.0819,-0.103,0.0783,0.197,-0.0214,
HLA-C,A0A140T9J9,0.566743014,0.925,FALSE,-0.191,-0.0561,-0.0813,0.66,-0.247,
HSP90B1,P14625,0.559121924,0.925,FALSE,0.0729,-0.0229,-0.201,0.0795,0.05,
MARK2,Q7KZI7,0.565488431,0.925,FALSE,-0.074,0.0711,-0.064,-0.0936,-0.00294,
MICAL1,Q8TDZ2,0.56111675,0.925,FALSE,0.0947,-0.175,-0.00256,0.512,-0.0802,
MOGS,Q13724-2,0.56344639,0.925,FALSE,-0.125,-0.138,0.0575,0.764,-0.263,
MYEF2,A0A0A0MQW0,0.557214505,0.925,FALSE,-0.0603,0.089,-0.137,-0.144,0.0287,
NARS2,Q96I59,0.55970391,0.925,FALSE,0.0845,-0.0133,-0.117,-0.0381,0.0712,
PDIA6,Q15084-3,0.563372959,0.925,FALSE,0.137,0.0726,-0.551,-0.198,0.21,
PLOD1,Q02809,0.558609957,0.925,FALSE,-0.0842,-0.00942,-0.0368,0.231,-0.0936,
PTK2,Q05397-5,0.563112501,0.925,FALSE,0.0747,-0.0372,-0.0958,0.0634,0.0375,
RAD21,O60216,0.563106955,0.925,FALSE,-0.0854,0.0942,0.0569,-0.244,0.00878,
SNX3,O60493,0.565344252,0.925,FALSE,-0.0886,-0.0478,-0.0371,0.393,-0.136,
SORBS2,A0A8Q3WKH1,0.567081339,0.925,FALSE,-0.425,0.779,0.174,-2.38,0.354,
TBCB,K7EP07,0.559179179,0.925,FALSE,0.137,-0.292,0.482,0.573,-0.155,
TIMM21,Q9BVV7,0.557949678,0.925,FALSE,-0.0537,0.0377,-0.125,0.0403,-0.016,
TROVE2,P10155-3,0.560713728,0.925,FALSE,0.0474,0.0363,-0.0304,-0.22,0.0837,
A0A2R8YH07,A0A2R8YH07,0.568449249,0.926,FALSE,-0.154,-0.0263,0.505,0.0755,-0.18,
CCT5,P48643,0.570098679,0.926,FALSE,0.051,-0.112,0.653,-0.088,-0.0614,
CUL5,Q93034,0.578366858,0.926,FALSE,0.0653,-0.00992,-0.028,-0.0722,0.0554,
DTYMK,P23919,0.569462773,0.926,FALSE,0.075,-0.171,0.254,0.365,-0.0962,
EEF2,P13639,0.579323155,0.926,FALSE,-0.0458,-0.0804,0.119,0.334,-0.126,
HSD3B1,P14060,0.572350094,0.926,FALSE,0.112,-0.277,-0.51,1.22,-0.165,
HSPA8,P11142,0.575886076,0.926,FALSE,0.0593,-0.108,0.0313,0.293,-0.0488,
IGF2BP2,F8W930,0.571489579,0.926,FALSE,-0.0674,0.0504,-0.0365,-0.0424,-0.017,
IVD,A0A0A0MT83,0.578601062,0.926,FALSE,0.146,-0.246,0.0541,0.655,-0.0997,
KIAA1279,A0A1B0GUA3,0.572650926,0.926,FALSE,-0.077,0.0873,-0.543,0.167,0.0103,
MPDU1,J3QS48,0.571390643,0.926,FALSE,0.108,-0.0548,-0.0563,0.0411,0.053,
NDUFS2,O75306,0.572917116,0.926,FALSE,-0.058,0.165,-0.0583,-0.504,0.107,
PCSK5,B1AMG5,0.5789873,0.926,FALSE,0.239,-0.295,-0.407,0.972,-0.0555,
RAVER2,Q9HCJ3,0.574113715,0.926,FALSE,0.107,0.00423,0.183,-0.353,0.111,
RPL11,P62913,0.57401005,0.926,FALSE,-0.0473,0.0316,-0.141,0.062,-0.0157,
RPS10,P46783,0.572688422,0.926,FALSE,-0.0848,-0.0471,0.147,0.26,-0.132,
TOMM22,Q9NS69,0.578588657,0.926,FALSE,-0.0771,0.189,-0.0436,-0.574,0.112,
TRIP13,Q15645,0.573272429,0.926,FALSE,-0.0754,0.029,0.173,-0.0809,-0.0463,
ABR,A0A0G2JQ41,0.579479567,0.927,FALSE,0.0711,-0.0315,0.00505,-0.0196,0.0396,
ACP1,P24666,0.581489942,0.927,FALSE,-0.0474,0.0782,-0.126,-0.134,0.0308,
CUL1,A0A590UJ21,0.589475606,0.927,FALSE,-0.0524,0.0525,0.00536,-0.109,0.000107,
EEF1A2,A0A2U3TZH3,0.584621502,0.927,FALSE,-0.128,0.38,0.174,-1.38,0.252,
GALK1,P51570,0.588468538,0.927,FALSE,-0.0715,0.139,-0.495,-0.0829,0.0675,
HNRNPUL2,Q1KMD3,0.588567467,0.927,FALSE,0.102,-0.0773,0.148,0.00603,0.0249,
LARP1,E5RH50,0.584552323,0.927,FALSE,-0.0792,0.0127,0.0889,0.0484,-0.0665,
MDH2,P40926,0.582205882,0.927,FALSE,-0.25,0.173,-0.198,-0.06,-0.0767,
PIN1,K7EN45,0.590550802,0.927,FALSE,0.106,-0.0707,-0.0279,0.0892,0.0354,
PNKP,A0A0D9SFL2,0.580782523,0.927,FALSE,-0.0594,0.000681,0.108,0.0444,-0.0587,
PPFIBP2,E9PP16,0.588204922,0.927,FALSE,-0.0623,0.0278,-0.301,0.214,-0.0345,
PRKCSH,K7ELL7,0.581954993,0.927,FALSE,0.159,0.0433,-0.421,-0.21,0.202,
SBDS,Q9Y3A5,0.585184435,0.927,FALSE,-0.0631,0.0622,-0.0634,-0.0805,-0.000879,
7-Sep,Q16181,0.584170662,0.927,FALSE,0.0631,-0.0915,0.0101,0.233,-0.0284,
SERPINH1,P50454,0.58875423,0.927,FALSE,-0.0642,0.0915,-0.14,-0.144,0.0273,
SMS,P52788,0.590292996,0.927,FALSE,0.11,-0.0382,-0.184,0.0552,0.072,
UBR3,Q6ZT12,0.588210181,0.927,FALSE,-0.0783,0.143,0.125,-0.497,0.0642,
YIF1A,A6NGW1,0.587378809,0.927,FALSE,-0.0799,0.0396,-0.309,0.207,-0.0403,
AGRN,O00468-6,0.59476903,0.928,FALSE,-0.189,-0.0817,-0.00439,0.708,-0.271,
AK4,P27144,0.602606582,0.928,FALSE,0.0841,-0.165,-0.0735,0.539,-0.0805,
BOP1,Q14137-2,0.592598353,0.928,FALSE,-0.0616,0.00724,0.341,-0.133,-0.0544,
DYNC1H1,Q14204,0.6005613,0.928,FALSE,-0.0331,0.0489,-0.125,-0.046,0.0158,
G3BP1,Q13283,0.59187202,0.928,FALSE,-0.0717,-0.0751,0.00494,0.441,-0.147,
HADHB,P55084,0.601644752,0.928,FALSE,-0.0875,0.11,0.0173,-0.275,0.0222,
HIST1H1C,P16403,0.601873889,0.928,FALSE,0.13,0.0398,-0.0314,-0.399,0.17,
HNRNPR,O43390,0.594606855,0.928,FALSE,0.0762,-0.0274,0.102,-0.111,0.0488,
IMP4,E7ENR5,0.597773774,0.928,FALSE,-0.0863,-0.0232,0.0418,0.237,-0.109,
KDELC1,Q6UW63,0.601110482,0.928,FALSE,0.114,-0.132,-0.148,0.397,-0.0175,
MCM2,P49736,0.59798119,0.928,FALSE,-0.0716,-0.0482,0.163,0.227,-0.12,
MCM3,P25205,0.592832201,0.928,FALSE,-0.111,-0.203,0.641,0.608,-0.315,
MVK,F5H8H2,0.595827511,0.928,FALSE,-0.0721,0.139,-0.119,-0.332,0.0669,
NAA15,A0A0B4J1W3,0.593788767,0.928,FALSE,-0.0462,-0.0399,0.235,0.0952,-0.086,
PRKCI,P41743,0.593999663,0.928,FALSE,0.0601,-0.0983,0.198,0.141,-0.0382,
RCL1,Q9Y2P8,0.600923165,0.928,FALSE,-0.0855,-0.0397,0.27,0.15,-0.125,
SARS,Q5T5C7,0.59859467,0.928,FALSE,-0.0553,-0.0495,0.0962,0.244,-0.105,
SFXN3,A0A8V8TP06,0.594652768,0.928,FALSE,-0.113,0.00349,-0.455,0.516,-0.11,
UQCRC2,P22695,0.593422612,0.928,FALSE,-0.0873,0.224,0.0305,-0.74,0.136,
AP2S1,M0R0N4,0.611544814,0.929,FALSE,0.0523,-0.0259,0.0908,-0.0616,0.0264,
ATP5J2-PTCD1,C9JJT5,0.609645775,0.929,FALSE,0.0702,0.186,0.0633,-0.927,0.256,
FAHD2A,Q96GK7,0.612757018,0.929,FALSE,0.0835,-0.137,0.398,0.115,-0.0534,
HSD17B10,Q99714,0.611662875,0.929,FALSE,-0.0639,-0.0167,0.254,0.0252,-0.0806,
LRRC40,Q9H9A6,0.611507059,0.929,FALSE,0.0488,0.0297,-0.0859,-0.159,0.0785,
NARS,O43776,0.616163165,0.929,FALSE,-0.0958,-0.135,0.276,0.549,-0.231,
NEBL,O76041,0.612463663,0.929,FALSE,-0.656,0.853,0.402,-2.37,0.197,
NUBP2,Q9Y5Y2,0.607270942,0.929,FALSE,-0.0458,0.0601,-0.0469,-0.118,0.0143,
O00159-3,O00159-3,0.609785352,0.929,FALSE,-0.0644,0.0414,-0.232,0.118,-0.023,
PPIP5K2,A0A087WZV0,0.604674298,0.929,FALSE,-0.0551,-0.0106,-0.19,0.279,-0.0657,
RALY,Q5QPL9,0.606103824,0.929,FALSE,-0.0449,0.0158,0.174,-0.0889,-0.0292,
RFC1,P35251,0.605023417,0.929,FALSE,0.0549,-0.0551,0.103,0.0422,-0.000233,
RHPN2,Q8IUC4,0.609826712,0.929,FALSE,0.0797,-0.152,-0.124,0.529,-0.0718,
RPS2,P15880,0.613544004,0.929,FALSE,-0.0387,-0.0614,0.227,0.172,-0.1,
SLC38A10,Q9HBR0,0.606123259,0.929,FALSE,-0.103,0.0847,-0.204,0.00239,-0.018,
SYNCRIP,O60506,0.615398719,0.929,FALSE,0.0595,0.00419,0.199,-0.268,0.0637,
TGFB2,P61812,0.60495065,0.929,FALSE,-0.119,-0.014,0.365,0.0506,-0.133,
WDR18,U3KQC1,0.610528442,0.929,FALSE,0.0593,-0.12,0.293,0.165,-0.0604,
ALB,CON__P02768-1,0.61648727,0.93,FALSE,0.359,-0.529,-0.742,1.89,-0.17,
CEBPZ,Q03701,0.628545886,0.93,FALSE,0.0708,0.0332,0.367,-0.519,0.104,
CRYAB,P02511,0.618100168,0.93,FALSE,0.146,0.467,0.39,-2.42,0.613,
DBNL,Q9UJU6,0.617433937,0.93,FALSE,-0.0639,0.0604,-0.264,0.0621,-0.00354,
DPYSL2,Q16555,0.622907636,0.93,FALSE,0.0857,-0.253,0.086,0.783,-0.167,
EPB41L3,Q9Y2J2-2,0.616872127,0.93,FALSE,-0.0696,0.182,0.136,-0.68,0.112,
FH,P07954-2,0.623607947,0.93,FALSE,0.0644,0.0784,0.0457,-0.473,0.143,
GLYR1,K7EMM8,0.621962699,0.93,FALSE,0.0706,-0.0424,0.0224,0.0134,0.0282,
LPGAT1,Q92604,0.623831401,0.93,FALSE,0.0786,0.0655,-0.482,-0.098,0.144,
METTL16,Q86W50,0.61656647,0.93,FALSE,0.0467,-0.0701,0.258,0.0146,-0.0234,
MRPL38,Q96DV4,0.624894087,0.93,FALSE,-0.0641,-0.00326,-0.0598,0.181,-0.0674,
NOP58,Q9Y2X3,0.626720535,0.93,FALSE,0.0517,-0.0841,0.184,0.11,-0.0324,
NUP107,P57740,0.623006426,0.93,FALSE,0.0641,-0.0563,-0.0716,0.145,0.00777,
POP1,Q99575,0.619659468,0.93,FALSE,0.079,-0.05,0.0857,-0.015,0.029,
PSMD13,Q9UNM6,0.624915272,0.93,FALSE,-0.0643,-0.0901,0.246,0.325,-0.154,
SMC2,O95347,0.628407436,0.93,FALSE,0.0707,-0.17,0.248,0.372,-0.0991,
YTHDC1,J3QR07,0.624098472,0.93,FALSE,-0.0782,0.026,0.013,0.0439,-0.0523,
ACAA1,P09110,0.63090325,0.931,FALSE,-0.0734,0.00473,-0.419,0.407,-0.0687,
ACADS,P16219,0.636861429,0.931,FALSE,-0.065,0.129,-0.0621,-0.346,0.0644,
ALDH2,P05091,0.638717025,0.931,FALSE,-0.0577,-0.0561,-0.0136,0.349,-0.114,
AMPD2,H0YF16,0.63949443,0.931,FALSE,0.0686,-0.0632,-0.0923,0.177,0.00545,
ANKRD17,H0YM23,0.629885319,0.931,FALSE,0.109,-0.153,0.128,0.309,-0.044,
ANP32B,Q92688-2,0.633667915,0.931,FALSE,-0.139,0.232,-0.0477,-0.618,0.0928,
ARHGEF16,Q5VV41,0.630650716,0.931,FALSE,0.167,-0.333,-0.279,1.18,-0.166,
DDX21,A0A8I5KNP3,0.636076256,0.931,FALSE,0.0807,-0.2,0.383,0.383,-0.119,
ECHS1,P30084,0.640406516,0.931,FALSE,-0.105,-0.187,0.283,0.769,-0.292,
ECI2,A0A0C4DGA2,0.631072163,0.931,FALSE,-0.0714,0.105,-0.106,-0.208,0.0339,
EIF2S1,P05198,0.63502758,0.931,FALSE,0.0371,-0.0622,0.021,0.161,-0.0251,
EPB41L5,Q9HCM4-2,0.635648729,0.931,FALSE,-0.0439,0.068,-0.177,-0.0659,0.0241,
GAPDH,P04406,0.638368674,0.931,FALSE,0.0945,-0.187,0.346,0.33,-0.0928,
HYOU1,Q9Y4L1,0.641256091,0.931,FALSE,0.0554,-0.0771,-0.264,0.374,-0.0217,
MAP1S,Q66K74-2,0.630159492,0.931,FALSE,-0.0918,-0.119,0.306,0.454,-0.21,
NDUFA12,Q9UI09,0.6318587,0.931,FALSE,0.0812,0.0967,0.0884,-0.608,0.178,
